GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Shanghai-Wind-2022,2022,1070.0,1
Shanxi-Wind-2022,2022,23080.0,1
Sichuan-Wind-2022,2022,5980.0,1
Tianjin-Wind-2022,2022,1450.0,1
Tibet-Wind-2022,2022,30.0,1
West_Inner_Mongolia-Wind-2022,2022,45480.0,1
Xinjiang-Wind-2022,2022,26140.0,1
Yunnan-Wind-2022,2022,9120.0,1
Zhejiang-Wind-2022,2022,4230.0,1
Anhui-Central_PV-2022,2022,10640.0,1
Beijing-Central_PV-2022,2022,50.0,1
Chongqing-Central_PV-2022,2022,540.0,1
East_Inner_Mongolia-Central_PV-2022,2022,,1
Fujian-Central_PV-2022,2022,390.0,1
Gansu-Central_PV-2022,2022,13110.0,1
Guangdong-Central_PV-2022,2022,7530.0,1
Guangxi-Central_PV-2022,2022,4370.0,1
Guizhou-Central_PV-2022,2022,13970.0,1
Hainan-Central_PV-2022,2022,2000.0,1
Hebei-Central_PV-2022,2022,19940.0,1
Heilongjiang-Central_PV-2022,2022,3670.0,1
Henan-Central_PV-2022,2022,6290.0,1
Hubei-Central_PV-2022,2022,9760.0,1
Hunan-Central_PV-2022,2022,2860.0,1
Jiangsu-Central_PV-2022,2022,9530.0,1
Jiangxi-Central_PV-2022,2022,6950.0,1
Jilin-Central_PV-2022,2022,2950.0,1
Liaoning-Central_PV-2022,2022,3810.0,1
Ningxia-Central_PV-2022,2022,14920.0,1
Qinghai-Central_PV-2022,2022,18060.0,1
Shaanxi-Central_PV-2022,2022,11940.0,1
Shandong-Central_PV-2022,2022,12500.0,1
Shanghai-Central_PV-2022,2022,240.0,1
Shanxi-Central_PV-2022,2022,12570.0,1
Sichuan-Central_PV-2022,2022,1730.0,1
Tianjin-Central_PV-2022,2022,1220.0,1
Tibet-Central_PV-2022,2022,1760.0,1
West_Inner_Mongolia-Central_PV-2022,2022,14300.0,1
Xinjiang-Central_PV-2022,2022,15460.0,1
Yunnan-Central_PV-2022,2022,5250.0,1
Zhejiang-Central_PV-2022,2022,6130.0,1
